fips,County,State,Alpha code,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25,population,total cases,total deaths,hospital beds,hospital beds usage,hospital beds covid,hospital icu beds,hospital icu beds usage,hospital icu beds covid,vaccination initiated,vaccination completed,vaccination initiated ratio,vaccination completed ratio,vaccination addl dose,vaccination addl dose ratio,vaccination booster,vaccination booster ratio
8101,Pueblo County,Colorado,CO,13959,1171,118695,28268,168424,63048,574,397.0,265.0,3.0,54.0,35.0,1.0,109639.0,99635.0,0.651,0.592,55492.0,0.329,27311.0,0.162
8123,Weld County,Colorado,CO,32002,2769,229780,79561,324492,107577,498,373.0,176.0,4.0,49.0,16.0,0.0,223173.0,207109.0,0.688,0.638,109687.0,0.338,50559.0,0.156
10001,Kent County,Delaware,DE,17686,878,126667,31989,180786,64780,382,300.0,213.0,12.0,29.0,20.0,2.0,124753.0,107057.0,0.69,0.592,53409.0,0.295,25718.0,0.142
10003,New Castle County,Delaware,DE,53002,6783,401443,161283,558753,188440,1183,1541.0,1193.0,34.0,107.0,74.0,3.0,499365.0,411164.0,0.894,0.736,209919.0,0.376,119307.0,0.214
10005,Sussex County,Delaware,DE,15440,1335,195931,71112,234225,79123,566,533.0,349.0,12.0,33.0,15.0,0.0,202631.0,170786.0,0.865,0.729,94392.0,0.403,58525.0,0.25
11001,District of Columbia,District of Columbia,DC,68328,21693,479231,313274,705749,178904,1435,2898.0,2231.0,13.0,327.0,263.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,Alachua County,Florida,FL,61715,12630,172533,83720,269043,89614,497,1574.0,1333.0,57.0,325.0,312.0,13.0,214684.0,186741.0,0.798,0.694,93246.0,0.347,46386.0,0.172
12005,Bay County,Florida,FL,13370,1048,133422,37791,174705,55432,588,438.0,352.0,6.0,84.0,55.0,1.0,114373.0,97180.0,0.655,0.556,36713.0,0.21,13233.0,0.076
12009,Brevard County,Florida,FL,45768,5213,472034,170348,601942,174846,2267,1406.0,995.0,54.0,165.0,118.0,9.0,475290.0,404450.0,0.79,0.672,188508.0,0.313,79722.0,0.132
12011,Broward County,Florida,FL,150005,20413,1396625,518243,1952778,773219,6714,4321.0,3375.0,124.0,442.0,348.0,15.0,1726447.0,1439944.0,0.884,0.737,616991.0,0.316,223075.0,0.114
12015,Charlotte County,Florida,FL,10631,595,168448,46382,188910,48782,616,715.0,343.0,21.0,49.0,38.0,2.0,154570.0,128853.0,0.818,0.682,65937.0,0.349,29884.0,0.158
12017,Citrus County,Florida,FL,8653,589,129884,25194,149657,39071,780,332.0,231.0,18.0,40.0,29.0,1.0,99091.0,87142.0,0.662,0.582,45121.0,0.301,20187.0,0.135
12019,Clay County,Florida,FL,17380,1915,158070,43283,219252,67274,624,547.0,307.0,6.0,50.0,27.0,1.0,146651.0,123252.0,0.669,0.562,50836.0,0.232,18180.0,0.083
