County,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25
"Sangamon County, Illinois",16404,3036,135947,48781
"Tazewell County, Illinois",9740,650,91959,26912
"Vermilion County, Illinois",5307,89,50395,7822
"Will County, Illinois",64108,10459,469904,170329
"Williamson County, Illinois",4451,118,48322,14214
"Winnebago County, Illinois",24616,2503,192109,51221
"Allen County, Indiana",35874,4947,257114,80548
"Bartholomew County, Indiana",7310,1437,56381,19002
"Boone County, Indiana",6321,767,49760,24270
"Clark County, Indiana",10760,721,86525,25685
"Delaware County, Indiana",21876,1541,70214,18734
"Elkhart County, Indiana",20069,1060,131148,27092
"Floyd County, Indiana",6416,341,56294,21489
"Grant County, Indiana",8195,823,43745,9418
"Hamilton County, Indiana",28663,5462,244960,150787
"Hancock County, Indiana",6493,1088,57464,20689
"Hendricks County, Indiana",15091,2456,123354,44821
"Howard County, Indiana",6306,711,58469,11935
"Johnson County, Indiana",13342,2460,112585,38512
"Kosciusko County, Indiana",7290,575,54879,13678
"Lake County, Indiana",43264,3562,341318,92531
"LaPorte County, Indiana",9242,471,78953,18624
"Madison County, Indiana",11651,523,92123,19005
"Marion County, Indiana",93422,15629,639061,228026
"Monroe County, Indiana",37055,6513,80951,41765
"Morgan County, Indiana",5488,632,50867,11959
"Porter County, Indiana",15411,1909,122407,37126
"St. Joseph County, Indiana",32972,3629,176754,56826
"Tippecanoe County, Indiana",46098,3758,104919,38475
"Vanderburgh County, Indiana",17395,1912,123681,36169
"Vigo County, Indiana",17269,1798,67466,18207
"Warrick County, Indiana",5011,629,45065,16239
"Wayne County, Indiana",6008,493,45333,7379
"Black Hawk County, Iowa",19794,1252,82378,26520
"Dallas County, Iowa",7773,1896,71723,39789
"Dubuque County, Iowa",10304,1794,66996,22469
"Johnson County, Iowa",32750,6914,93959,51692
"Linn County, Iowa",21162,2273,156869,57481
"Polk County, Iowa",46527,9925,334429,137136
"Pottawattamie County, Iowa",8077,634,64098,15769
"Scott County, Iowa",14361,1931,119593,44579
"Story County, Iowa",31707,3116,52180,30922
"Woodbury County, Iowa",9669,775,69820,18017
"Butler County, Kansas",6068,283,45946,13409
